objectid,province_territory,districts,shape_leng,shape_area,district_agency,status,cartodb_id,created_at,updated_at
67,Khyber Pakhtunkhwa,Bannu,2.103026,0.116758,Bannu,District,65,2015/07/06 09:49:19,2015/07/06 09:49:19
10,Azad Jammu & Kashmir,Sudhnutti,1.255622,0.055225,Sudhnutti,District,10,2015/07/06 09:49:19,2015/07/06 09:49:19
27,Balochistan,Killa Abdullah,4.293911,0.436281,Killa Abdullah,District,25,2015/07/06 09:49:19,2015/07/06 09:49:19
51,Federally Administered Tribal Areas,FR Tank,1.812708,0.109204,FR Tank,FR,49,2015/07/06 09:49:19,2015/07/06 09:49:19
73,Khyber Pakhtunkhwa,Hangu,2.352585,0.133021,Hangu,District,71,2015/07/06 09:49:19,2015/07/06 09:49:19
96,Punjab,Chiniot,2.746435,0.247447,Chiniot,District,94,2015/07/06 09:49:19,2015/07/06 09:49:19
107,Punjab,Lahore,2.304896,0.164167,Lahore,District,105,2015/07/06 09:49:19,2015/07/06 09:49:19
65,Islamabad Capital Territory,Islamabad,1.74531,0.087645,Islamabad,District,63,2015/07/06 09:49:19,2015/07/06 09:49:19
70,Khyber Pakhtunkhwa,Charsadda,1.576697,0.097777,Charsadda,District,68,2015/07/06 09:49:19,2015/07/06 09:49:19
82,Khyber Pakhtunkhwa,Mardan,2.086856,0.160276,Mardan,District,80,2015/07/06 09:49:19,2015/07/06 09:49:19
1,Azad Jammu & Kashmir,Bagh,1.594116,0.067758,Bagh,District,1,2015/07/06 09:49:19,2015/07/06 09:49:19
2,Azad Jammu & Kashmir,Bhimber,1.987888,0.117047,Bhimber,District,2,2015/07/06 09:49:19,2015/07/06 09:49:19
3,Azad Jammu & Kashmir,Hattian,1.300416,0.066683,Hattian,District,3,2015/07/06 09:49:19,2015/07/06 09:49:19
4,Azad Jammu & Kashmir,Haveli,1.001545,0.053722,Haveli,District,4,2015/07/06 09:49:19,2015/07/06 09:49:19
6,Azad Jammu & Kashmir,Mirpur,1.477625,0.086768,Mirpur,District,6,2015/07/06 09:49:19,2015/07/06 09:49:19
18,Balochistan,Sohbatpur,1.808907,0.072524,Sohbatpur,District,18,2015/07/06 09:49:19,2015/07/06 09:49:19
39,Balochistan,Sherani,2.81312,0.290015,Sherani,District,37,2015/07/06 09:49:19,2015/07/06 09:49:19
56,Federally Administered Tribal Areas,Orakzai Agency,2.578255,0.133221,Orakzai Agency,Agency,54,2015/07/06 09:49:19,2015/07/06 09:49:19
40,Balochistan,Lehri,3.241817,0.304225,Lehri,District,38,2015/07/06 09:49:19,2015/07/06 09:49:19
5,Azad Jammu & Kashmir,Kotli,2.017824,0.155069,Kotli,District,5,2015/07/06 09:49:19,2015/07/06 09:49:19
