"iyear","district","attackty_1","n_inc","sum_kill","sum_wound"
2000,"Abbottabad","Armed Assault",0,0,0
2001,"Abbottabad","Armed Assault",0,0,0
2002,"Abbottabad","Armed Assault",0,0,0
2003,"Abbottabad","Armed Assault",0,0,0
2004,"Abbottabad","Armed Assault",0,0,0
2005,"Abbottabad","Armed Assault",0,0,0
2006,"Abbottabad","Armed Assault",0,0,0
2007,"Abbottabad","Armed Assault",0,0,0
2008,"Abbottabad","Armed Assault",0,0,0
2009,"Abbottabad","Armed Assault",0,0,0
2010,"Abbottabad","Armed Assault",0,0,0
2011,"Abbottabad","Armed Assault",0,0,0
2012,"Abbottabad","Armed Assault",0,0,0
2013,"Abbottabad","Armed Assault",0,0,0
2014,"Abbottabad","Armed Assault",0,0,0
2015,"Abbottabad","Armed Assault",0,0,0
2016,"Abbottabad","Armed Assault",0,0,0
2000,"Abbottabad","Assassination",0,0,0
2001,"Abbottabad","Assassination",0,0,0
2002,"Abbottabad","Assassination",0,0,0
2003,"Abbottabad","Assassination",0,0,0
2004,"Abbottabad","Assassination",0,0,0
2005,"Abbottabad","Assassination",0,0,0
2006,"Abbottabad","Assassination",0,0,0
2007,"Abbottabad","Assassination",0,0,0
2008,"Abbottabad","Assassination",0,0,0
2009,"Abbottabad","Assassination",0,0,0
2010,"Abbottabad","Assassination",0,0,0
2011,"Abbottabad","Assassination",0,0,0
2012,"Abbottabad","Assassination",0,0,0
2013,"Abbottabad","Assassination",0,0,0
2014,"Abbottabad","Assassination",0,0,0
2015,"Abbottabad","Assassination",0,0,0
2016,"Abbottabad","Assassination",0,0,0
2000,"Abbottabad","Bombing/Explosion",0,0,0
2001,"Abbottabad","Bombing/Explosion",0,0,0
2002,"Abbottabad","Bombing/Explosion",0,0,0
2003,"Abbottabad","Bombing/Explosion",0,0,0
2004,"Abbottabad","Bombing/Explosion",0,0,0
2005,"Abbottabad","Bombing/Explosion",0,0,0
2006,"Abbottabad","Bombing/Explosion",0,0,0
2007,"Abbottabad","Bombing/Explosion",0,0,0
2008,"Abbottabad","Bombing/Explosion",0,0,0
2009,"Abbottabad","Bombing/Explosion",0,0,0
2010,"Abbottabad","Bombing/Explosion",0,0,0
2011,"Abbottabad","Bombing/Explosion",0,0,0
2012,"Abbottabad","Bombing/Explosion",1,0,0
2013,"Abbottabad","Bombing/Explosion",0,0,0
2014,"Abbottabad","Bombing/Explosion",1,0,0
2015,"Abbottabad","Bombing/Explosion",0,0,0
2016,"Abbottabad","Bombing/Explosion",0,0,0
2000,"Abbottabad","Facility/Infrastructure Attack",0,0,0
2001,"Abbottabad","Facility/Infrastructure Attack",0,0,0
2002,"Abbottabad","Facility/Infrastructure Attack",0,0,0
2003,"Abbottabad","Facility/Infrastructure Attack",0,0,0
2004,"Abbottabad","Facility/Infrastructure Attack",0,0,0
2005,"Abbottabad","Facility/Infrastructure Attack",0,0,0
2006,"Abbottabad","Facility/Infrastructure Attack",0,0,0
2007,"Abbottabad","Facility/Infrastructure Attack",0,0,0
2008,"Abbottabad","Facility/Infrastructure Attack",0,0,0
2009,"Abbottabad","Facility/Infrastructure Attack",0,0,0
2010,"Abbottabad","Facility/Infrastructure Attack",0,0,0
2011,"Abbottabad","Facility/Infrastructure Attack",0,0,0
2012,"Abbottabad","Facility/Infrastructure Attack",0,0,0
2013,"Abbottabad","Facility/Infrastructure Attack",0,0,0
2014,"Abbottabad","Facility/Infrastructure Attack",0,0,0
2015,"Abbottabad","Facility/Infrastructure Attack",0,0,0
2016,"Abbottabad","Facility/Infrastructure Attack",0,0,0
2000,"Abbottabad","Hijacking",0,0,0
2001,"Abbottabad","Hijacking",0,0,0
2002,"Abbottabad","Hijacking",0,0,0
2003,"Abbottabad","Hijacking",0,0,0
2004,"Abbottabad","Hijacking",0,0,0
2005,"Abbottabad","Hijacking",0,0,0
2006,"Abbottabad","Hijacking",0,0,0
2007,"Abbottabad","Hijacking",0,0,0
2008,"Abbottabad","Hijacking",0,0,0
2009,"Abbottabad","Hijacking",0,0,0
2010,"Abbottabad","Hijacking",0,0,0
2011,"Abbottabad","Hijacking",0,0,0
2012,"Abbottabad","Hijacking",0,0,0
2013,"Abbottabad","Hijacking",0,0,0
2014,"Abbottabad","Hijacking",0,0,0
2015,"Abbottabad","Hijacking",0,0,0
2016,"Abbottabad","Hijacking",0,0,0
2000,"Abbottabad","Hostage Taking (Barricade Incident)",0,0,0
2001,"Abbottabad","Hostage Taking (Barricade Incident)",0,0,0
2002,"Abbottabad","Hostage Taking (Barricade Incident)",0,0,0
2003,"Abbottabad","Hostage Taking (Barricade Incident)",0,0,0
2004,"Abbottabad","Hostage Taking (Barricade Incident)",0,0,0
2005,"Abbottabad","Hostage Taking (Barricade Incident)",0,0,0
2006,"Abbottabad","Hostage Taking (Barricade Incident)",0,0,0
2007,"Abbottabad","Hostage Taking (Barricade Incident)",0,0,0
2008,"Abbottabad","Hostage Taking (Barricade Incident)",0,0,0
2009,"Abbottabad","Hostage Taking (Barricade Incident)",0,0,0
2010,"Abbottabad","Hostage Taking (Barricade Incident)",0,0,0
2011,"Abbottabad","Hostage Taking (Barricade Incident)",0,0,0
2012,"Abbottabad","Hostage Taking (Barricade Incident)",0,0,0
2013,"Abbottabad","Hostage Taking (Barricade Incident)",0,0,0
2014,"Abbottabad","Hostage Taking (Barricade Incident)",0,0,0
2015,"Abbottabad","Hostage Taking (Barricade Incident)",0,0,0
2016,"Abbottabad","Hostage Taking (Barricade Incident)",0,0,0
